Product,Price,Discount,Feature 1,Feature 2,Delivery method,Colour
"Ghost Kato 3.7 27.5"" Hardtail Bike",€603.70,Save 17%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Night Black/Neon Yel
GT GTR Comp (2019) Bike,€999.00,No discount applied,"Frame: All-New GTR Alloy frame, Tapered head tube, Threaded BB, Flat mount disc","Fork: All-New GTR Full Carbon fork, 1 1/8 to 1 1/4"" tapered, flat mount disc, 12mm thru axle",Bulk Tracked Courier Delivery:, Gloss Red & Black
Cube Town PRO Comfort Easy Entry Urban Bike (2018),€594.00,Save 15%,Frame: Aluminium Superlite Trekking Comfort Double Butted,Easy Entry: Women's frame.,Bulk Tracked Courier Delivery:,Black
Kiddimoto Pastel Dotty Kurve Balance Bike,€87.99,Save 10%,"Wheel Size: 12"" (203)",No Feature 2,No delivery information,Mulitcoloured
AIRA 105 Team (2019) Bike,"€1,499.99",No discount applied,Frame: Orro Aira Carbon Frame,Fork: Orro Superlight 2.0 Full Carbon,Bulk Tracked Courier Delivery:, Black/White
GT Transeo Elite Easy Entry (2019) Bike,€539.00,No discount applied,"Frame: GT Transeo, Triple Triangle, 6061 series alloy",Forks: SR Suntour NVX-DS HLO,Bulk Tracked Courier Delivery:, Satin Gun
Vitus Sentier VR Mountain Bike (SLX 1x11 - 2019),"€1,099.99",No discount applied,Frame: 6061-T6 Alloy,"Fork: Rockshox Sektor RL, 140mm",No delivery information, Gray/Black
GT Zaskar Carbon Comp (2019) Bike,"€1,999.00",No discount applied,"Frame: F.O.C. Carbon Fibre, Triple Triangle construction","Forks: RockShox Sektor RL, Travel: 100mm",Bulk Tracked Courier Delivery:, Satin Slate Blue
Vitus Sentier Mountain Bike (Deore 1x10 - 2019),€949.99,No discount applied,Groupset Manufacturer: Shimano,Brake Type: Hydraulic Disc Brake,No delivery information, Black/Blue
Cube Aim Race 29 Hardtail Mountain Bike,€439.00,Save 20%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:, White/Red
GT Zaskar AL Comp (2019) Bike,"€1,399.00",No discount applied,"Frame: GT Speed Metal, Triple Triangle Alloy",Forks: RockShox Recon RL,Bulk Tracked Courier Delivery:, Satin Black
Cube Town Hybrid Sport 500 Trapeze E-Bike (2018),"€1,954.00",Save 15%,"Frame: Aluminium Superlite, Trekking Premium Comfort, Double Butted","Forks: SR Suntour NEX-E25, 50mm",Bulk Tracked Courier Delivery:, Black - Glossy
Fuji Nevada 27.5 1.7 Hardtail Bike (2018),€523.99,Save 25%,Frame: Fuji A2-SL custom-butted alloy,"Fork: SR Suntour SF16-XCT-HLO-DS-27.5 w/ hydraulic lockout, 100mm travel",Bulk Tracked Courier Delivery:, Satin Charcoal
Fuji Addy 27.5 1.1 Hardtail Bike (2018),€748.99,Save 25%,Frame: Fuji A2-SL custom-butted alloy,"Fork: RockShox XC30 TK 27.5, 100mm travel",Bulk Tracked Courier Delivery:,Cool Violet
Felt VR2 (2018) Road Bike,"€4,438.99",Save 20%,"Frame: Felt Variable Road UHC Advanced + TeXtreme carbon fibre, 12 x 142mm thru axle, internal cable routing","Fork: Felt Variable Road UHC Advanced + TeXtreme carbon fibre monocoque, tapered steerer, 12 x 100mm thru axle",Bulk Tracked Courier Delivery:, Charcoal Metallic/Te
Vitus Sommet Suspension Bike - Deore 1x10,"€1,709.99",Save 10%,"Frame: Hydroformed Triple Butted 6061-T6 Aluminium frame with patented four-bar V-Link rear suspension, 160mm travel","Forks: Manitou Mattoc Comp, 160mm travel",No delivery information, Teal - Yellow
Ghost Kato S4.9 (2018) Hardtail E-Bike,"€2,399.98",Save 31%,Frame: Hybride Hybride KATO AL,"Forks: SR Suntour Raidon 34 LOR DS Air, Travel: 120mm",Bulk Tracked Courier Delivery:,Black/Gray
Fuji Roubaix 1.5 Road Bike Silver 52cm Stock Bike,€755.98,Save 39%,"Frame: A6-SL super-butted 6066 aluminium, integrated 1 1/2"" lower head tube, PF30 shell, double bottle mounts, oversized ETC chainstays, forged-road dropout with replaceable derailleur hanger",Fork: FC-440 carbon with tapered carbon steerer & alloy dropouts,Bulk Tracked Courier Delivery:, Satin Storm Silver
Kiddimoto Cherry Kurve Balance Bike,€87.99,Save 10%,"Wheel Size: 12"" (203)",No Feature 2,Bulk Tracked Courier Delivery:,Multicoloured
Vitus Sommet VRS FS Bike - Sram GX Eagle 1x12,"€2,468.99",Save 20%,"Frame: Hydroformed Triple Butted 6061-T6 Aluminium frame with patented four-bar V-Link rear suspension, 160mm travel","Forks: RockShox Lyrik RC, 170mm travel",No delivery information, Green - Yellow
Vitus Rapide CR Mountain Bike (GX Eagle - 2019),"€1,999.99",No discount applied,Frame: T7-HM-UD Carbon Fibre,"Forks: RockShox Reba RL Remote, 29, 100mm",No delivery information, Black-White
Vitus Nucleus 275 VRW Womens Mountain Bike (2019)    Blu,€559.99,No discount applied,Frame: 6061-T6 Alloy,"Fork: SunTour SF14-XCR32 Air 27.5, 120mm",No delivery information, Navy/Gold
Kona Process 134 SE (2018) Mountain Bike,"€1,569.00",Save 25%,"Frame: 6061 Aluminum, Butted","Forks: RockShox Recon RL Solo Air, 140mm",No delivery information,Orange
Vitus Sommet VR Mountain Bike (NX Eagle- 2019),"€2,349.99",No discount applied,Frame: 6061- T6 Alloy,"Forks: RockShox Yari CHARGER RC Boost 27.5, 170mm",No delivery information, Dark Green-Green
Vitus Rapide CRX Mountain Bike (XO1 Eagle - 2019),"€2,799.99",No discount applied,Frame: T7-HM-UD Carbon Fibre,"Forks: RockShox Sid RL Remote, 29, 100mm",No delivery information, Red-Black
Vitus Sentier 29 Mountain Bike (Deore 1x10 - 2019),€949.99,No discount applied,Frame: 6061-T6 Alloy,"Fork: Rockshox Recon RL Boost, 29, 130mm",No delivery information, Blue/Black
Vitus Nucleus 275 VR Mountain Bike (2019),€559.99,No discount applied,Frame: 6061-T6 Alloy,"Fork: SunTour SF14-XCR32 Air 27.5, 120mm",No delivery information, Black/Blue
Vitus Nucleus 29 VRS Mountain Bike (2019),€669.99,No discount applied,Frame: 6061-T6 Alloy,"Fork: SunTour SF19 XCR32 Boost Air, 29, 100mm",No delivery information, Gray/Red
Vitus Escarpe Mountain Bike (NX - 2019),"€1,799.99",No discount applied,Frame: 6061-T6 Alloy,"Forks: Rockshox Sektor RL Boost, 27.5, 150mm",No delivery information, Blue-Navy
Kona Honzo AL (2018) Mountain Bike,"€1,039.00",Save 30%,"Frame: 6061 Aluminum, Butted","Forks: RockShox Recon Silver RL Solo Air Boost, 120mm",No delivery information,Gray
Vitus Escarpe VRX Mountain Bike (XT - 2019),"€3,299.99",No discount applied,Frame: 6061-T6 Alloy,"Forks: Fox 36 Fit Grip 2 Factory Boost, 27.5, 150mm, 44mm offset",No delivery information, Grey-Teal
Vitus Nucleus 275 VRX Mountain Bike (2019),€779.99,No discount applied,Frame: 6061-T6 Alloy,"Fork: SunTour SF19 Raidon32, Boost, 27.5, 120mm",No delivery information, Dark Blue/Dark Grey
Vitus Nucleus 24 Kids Mountain Bike (2019 - Altus),€449.99,No discount applied,Frame: 6061-T6 Alloy,"Fork: Spinner Grind 24"" Air 65mm",No delivery information,Green
Vitus Rapide Mountian Bike (SLX 1x11 - 2019),€999.99,No discount applied,Frame: 6061-T6 Alloy,"Fork: RockShox Recon RL Remote, 29, 100mm",No delivery information, Black/Red
Vitus Escarpe VR Mountain Bike (NX Eagle - 2019),"€2,249.99",No discount applied,Frame: 6061-T6 Alloy,"Forks: Rockshox Revelation Charger RC Boost, 27.5, 150mm",No delivery information, Black-Grey
Vitus Sentier 29 VR Mountain Bike (SLX 1x11 - 2019),"€1,099.99",No discount applied,Frame: 6061-T6 Alloy,"Fork: Rockshox Sektor RL Boost, 29, 140mm",No delivery information, Gray/Black
Vitus Rapide VR Mountain Bike (NX Eagle 1x12 - 2019),"€1,299.99",No discount applied,Frame: 6061-T6 Alloy,"Fork: RockShox Sektor RL Remote, 29, 100mm",No delivery information, Black/Gray
Subrosa Letum BMX Bike,€641.99,No discount applied,Frame: 100% CrMo,"Forks: 100% CrMo, Offset: 30mm",Bulk Tracked Courier Delivery:,Choice of colours
Kiddimoto Super Junior Max Valentino Rossi Balance Bike,€129.99,Save 9%,"Wheel Size: 12"" (203)",No Feature 2,No delivery information,Multicoloured
Vitus Sommet CRX Mountain Bike (XT- 2019),"€3,899.99",No discount applied,Frame: T7-HM-UD Carbon Fibre,"Forks: Fox 36 Fit Grip 2 Factory Boost, 27.5, 170mm, 44mm offset",No delivery information, Teal-Black
Vitus Nucleus 275 VRS Mountain Bike (2019)    Gray/Red M,€669.99,No discount applied,Frame: 6061-T6 Alloy,"Fork: SunTour SF19-XCR32 Boost Air 27.5, 120mm",No delivery information, Gray/Red
Vitus Sentier VRS Mountain Bike (NX Eagle 1x12 - 2019) G,"€1,599.99",No discount applied,Frame: 6061-T6 Alloy,"Fork: Rockshox Revelation Motion Control RC Boost, 27.5, 140mm",No delivery information, Gray/Red
Vitus Escarpe VR Suspension Bike - SLX 1x11,"€1,889.99",Save 10%,"Frame: Hydroformed Triple Butted 6061-T6 Aluminium with patented four-bar V-Link rear suspension, 140mm travel","Forks: RockShox Revelation RC, 150mm travel, DebonAir spring, Motion Control RC Damper, External Rebound adjuster, Low Speed Compression to Lock, 35mm Alloy stanchions - fast black coating, tapered aluminium steerer, Boost 15x110mm axle, 46mm offset, Maxle Stealth",No delivery information, Chrome - Red
Vitus Dee 29 VR City Bike,€431.99,Save 10%,Frame: Al6061 alloy,Fork: Olympic Pro Steel,Bulk Tracked Courier Delivery:,Smoke Tint
Fuji Traverse 1.7 City Bike (2018),€405.99,Save 29%,Frame: Fuji A2-SL custom-butted alloy with easy entry female design,"Forks: SR NEX suspension, 63mm travel",Bulk Tracked Courier Delivery:, Light Cyan
Vitus Escarpe 29 VR Mountain Bike (NX Eagle- 2019),"€2,249.99",No discount applied,Frame: 6061-T6 Alloy,"Forks: RockShox Revelation CHARGER RC Boost, 29, 140mm",No delivery information, Black-Grey
Vitus Zenium SL VR Disc Road Bike - 105,"€1,149.99",Save 25%,Weight: 9.05kg,Superlight 6066 Triple butted SL frame,Bulk Tracked Courier Delivery:, Silver - Grey
TERRA GRAVEL Flatbar 105 (2019) Bike,"€1,399.99",No discount applied,Frame: Orro Terra Gravel Triple Butted Aluminium Frame,Fork: Orro Superlight 2.0 Full Carbon,Bulk Tracked Courier Delivery:, Silver
Blank Tyro BMX Bike (2019),€305.00,No discount applied,Frame: Blank 1020 Hi-Tensile Steel,"Forks:  Blank Compound, 20"", tapered, 30mm offset",Bulk Tracked Courier Delivery:,Choice of colours
Vitus Nucleus 29 VR Mountain Bike (2019)    Black/Blue L,€559.99,No discount applied,Frame: 6061-T6 Alloy,"Fork: SunTour SF14 XCR32 Air, Boost, 29, 100mm",No delivery information, Black/Blue
Fuji Nevada 26 1.9 Hardtail Bike,€351.99,Save 24%,Fork: SR Suntour SF14-3030 26 w/ 75mm travel,"Steerer: 1 1/8"" Ahead",Bulk Tracked Courier Delivery:,Sport White
Fuji SL Team Replica Road Bike,"€1,602.99",Save 30%,"Frame: C5 carbon frame, integrated head tube with 1 1/2 lower, PF30 BB, double bottle mounts, oversized chainstays, carbon dropouts with replaceable hanger",Fork: FC-440 carbon with tapered carbon steerer,Bulk Tracked Courier Delivery:, Black/Green
"Ghost Lector 2.9 29"" Hardtail Bike","€1,474.99",Save 30%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:, Neon Green/Night Bla
Vitus Sommet Mountain Bike (NX - 2019),"€1,899.99",No discount applied,Frame: 6061- T6 Alloy,"Forks: Manitou Mattoc COMP, 27.5 170mm Boost, VTT Damping, Expert Air, HexLock SL Axle",No delivery information, Black-White
"Cube Access WS 29"" Hardtail Bike (2018)",€359.00,Save 20%,"Frame: Aluminium Lite, AMF, Internal Cable Routing, Easy Mount Kickstand Ready","Fork: SR Suntour XCT, 100mm",Bulk Tracked Courier Delivery:, Grey - Orange
"Ruption Impact BMX Bike (2019) Polished Magenta 14""",€215.00,No discount applied,"Frame: Ruption 1020 Hi Ten, 14"" Top Tube","Forks: Ruption 14"", Hi Ten Forks",Bulk Tracked Courier Delivery:,Choice of colours
Vitus Sommet CRS Mountain Bike (GX Eagle- 2019),"€3,399.99",No discount applied,Frame: T7-HM-UD Carbon Fibre,"Forks: RockShox Lyric CHARGER 2 RC Boost 27.5, 170mm",No delivery information, Black-Grey
Vitus ZX1 CRi Aero Disc Bike - Ultegra Di2,"€3,205.99",Save 15%,Weight: 8.4kg,Aero optimised with Kammtail tube profiles,No delivery information,Black/Silver
Vitus Twentyfour Kids Bike,€224.99,Save 16%,Light weight 6061 alloy frame,Tektro V Brakes,No delivery information,Gray
Vitus Dominer DH Suspension Bike - Sram GX DH,"€2,410.99",Save 22%,Frame: Hydroformed Triple Butted 6061-T6 Alloy,"Forks: RockShox Boxxer World Cup, 200mm travel",Bulk Tracked Courier Delivery:,Teal - Black Matte
Kona Wheelhouse (2018) Road Bike,"€1,469.00",Save 30%,Frame: Reynolds 853 Butted CrMo,Fork: Kona Carbon Flat Mount Road Disc,Bulk Tracked Courier Delivery:, Gloss Racing Green
"GT Mach One Pro 24"" (2019) Bike",€399.00,No discount applied,"Frame: GT Mach One Race, 6061 AL, Euro BB, Reverse Dropouts, 1-1/8"" Integrated H/T","Forks: GT Mach One Race, 1-1/8"" Steerer, 31.8mm Legs, 3/8"" Dropouts",Bulk Tracked Courier Delivery:,Electric Blue
"Kona Process 153 AL 29"" (2018) Mountain Bike","€2,624.00",Save 25%,Frame: Kona 6061 Aluminum Butted,"Forks: RockShox Yari Boost, 160mm",Bulk Tracked Courier Delivery:, Black
Cube Nature SL Trapeze Touring Bike (2018),€629.00 - €679.00,No discount applied,Frame:	Aluminium Superlite Trekking Cross Double Butted,Frame Design: Trapeze Women's model with dropped top-tube for ease of access.,Bulk Tracked Courier Delivery:,Choice of colours
Vitus Vitesse Evo CRi Disc Bike - Ultegra Di2,"€2,799.99",Save 26%,Weight: 7.99kg (58cm bike),High Modulus T700 carbon frameset,Bulk Tracked Courier Delivery:, Green - Black
CRS Ultegra Road Bike,"€2,540.99",Save 29%,"Frame: Carbon Monocoque, internal cable routing, QR dropout","Fork: Carbon Monocoque, straight blade, tapered",Bulk Tracked Courier Delivery:,White-Green-Red
GT Transeo Sport (2019) Bike,€399.00,No discount applied,"Frame: GT Transeo Triple Triangle 6061 series alloy, smooth welded, and hydroformed (TT,DT), forged drop-outs, chainstay disc mounts, all utility braze ons","Forks: GT fork with steel raked legs, rack and fender eyelets, steel steerer",Bulk Tracked Courier Delivery:, Satin Black
Vitus Vitesse Evo Road Bike - 105,"€1,199.98",Save 36%,High Modulus T700 carbon frameset,Full UCI certification,Bulk Tracked Courier Delivery:, Red - Black
Blank Icon BMX Bike (2019),€430.00,No discount applied,"Frame: Blank 1020 Hi-Tensile Steel, CrMo downtube, removable brake hardware, ""Grizzly"" geometry","Forks: Blank 3, 20"", tapered, 30mm offset",Bulk Tracked Courier Delivery:,Choice of colours
Vitus Nucleus 26 Kids Mountain Bike (2019 - Altus),€499.99,No discount applied,Frame: 6061-T6 Alloy,Fork: Spinner 300  26 Air 100mm,No delivery information,Blue/Red
Fuji Nevada 29 1.7 Hardtail Nike,€449.99,Save 25%,"Fork: SR Suntour SF16-XCT-HLO-DS-29 w/ hydraulic lockout, 100mm travel","Steerer: 1 1/8"" Ahead",Bulk Tracked Courier Delivery:,Satin Charcoal
Cube Reaction Pro 29 Hardtail Mountain Bike,€988.99,Save 15%,MTB: Yes,No Feature 2,Bulk Tracked Courier Delivery:,Green/Black
Vitus Escarpe VRX FS Bike - Sram GX Eagle 1x12,"€2,499.99",Save 16%,"Frame: Hydroformed Triple Butted 6061-T6 Aluminium with patented four-bar V-Link rear suspension, 140mm travel","Forks: RockShox Pike RCT3, 150mm travel",Bulk Tracked Courier Delivery:, Grey - Black
Fuji Touring Road Bike,€599.98,Save 35%,"Frame: Custom-butted Elios 2 CrMo, rack and fender mounts, Triple bottle mount, Pump Peg and Chain Hanger","Steerer: 1 1/8"" Ahead",Bulk Tracked Courier Delivery:,Choice of colours
GT GTR Sport (2019) Bike,€779.00,No discount applied,"Frame: All-New GTR Alloy frame, Tapered head tube, Threaded BB, Flat mount disc","Fork: All-New GTR Full Carbon fork, 1 1/8 to 1 1/4"" tapered, flat mount disc, 12mm thru axle",Bulk Tracked Courier Delivery:, Gloss White & Black
Felt Edict 5 (2018) XC Full Suspension MTB Bike,"€2,421.99",Save 25%,"Frame: Felt XC, 100mm travel, FAST suspension, UHC Advanced carbon fibre, MMC with InsideOut construction, carbon dropouts, ControlTaper head tube, post disc mount, replaceable hanger, threaded BB, carbon rocker links, 12x148mm Syntace style thru axle","Fork: RockShox Recon RL Solo air, 120mm travel, remote, 15x110mm Boost thru axle",Bulk Tracked Courier Delivery:, Matte Black/Blue
Stolen x Fiction BMX Bike,€419.80,No discount applied,Frame: Hand Welded 100% Hi-tensile Steel,"Fork: Hi-tensile Steel, tapered legs, one-piece steerer, compressor topcap, 32mm offset",Bulk Tracked Courier Delivery:,Choice of colours
GT Transeo Comp Easy Entry (2019) Bike,€449.00,No discount applied,"Frame: GT Transeo Alloy, Triple Triangle design",Forks: SR Suntour NEX coil,Bulk Tracked Courier Delivery:, Ink Blue
GT Mach One Expert (2019) Bike,€339.00,No discount applied,"Frame: GT Mach One Race, 6061-T6 AL, Euro BB, Reverse Dropouts, 1-1/8"" Integrated H/T","Forks: GT BMX Pro Race, Hi-Ten Steel 1 1/8"" Steerer, Oval 28.6x2.2mm Blades, 315mm A/C, 3/8"" Dropouts",Bulk Tracked Courier Delivery:,Electric Blue
Fuji Nevada 27.5 1.3 Hardtail Bike,€637.99,Save 25%,Frame: Fuji A2-SL & A1-SL,"Fork: SR Suntour SF15-XCM-RL-DS-27.5 with remote lockout, 100mm travel",Bulk Tracked Courier Delivery:, Cool Grey
PYRO 105 Team (2019) Bike,"€1,399.99",No discount applied,Frame: Orro Pyro Carbon Frame,Fork: Orro Superlight 2.0 Full Carbon,Bulk Tracked Courier Delivery:, Red/White
Cube Town PRO Comfort Urban Bike (2018),€538.80,Save 22%,Frame: Aluminium Superlite Trekking Comfort Double Butted,"Forks: SR Suntour NEX, 63mm; EE: 50mm",Bulk Tracked Courier Delivery:, Black
Cube Reaction TM 27.5 Hardtail Mountain Bike,"€1,079.98",Save 36%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:, Gray/Black
